source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
NGA_CDC,22-05-2020,Nigeria,NGA,Abia,,,,7,1,,,,,['NGA.1_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Adamawa,,,,27,13,2,,,,['NGA.2_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Akwa Ibom,,,,18,12,2,,,,['NGA.3_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Anambra,,,,5,1,,,,,['NGA.4_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Bauchi,,,,228,133,5,,,,['NGA.5_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Bayelsa,,,,7,5,,,,,['NGA.6_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Benue,,,,5,,,,,,['NGA.7_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Borno,,,,235,89,24,,,,['NGA.8_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Cross River,,,,,,,,,,['NGA.9_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Delta,,,,31,12,6,,,,['NGA.10_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Ebonyi,,,,13,1,,,,,['NGA.11_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Edo,,,,144,39,6,,,,['NGA.12_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Ekiti,,,,20,13,2,,,,['NGA.13_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Enugu,,,,16,6,,,,,['NGA.14_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Federal Capital Territory,,,,446,142,14,,,,['NGA.15_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Gombe,,,,144,92,3,,,,['NGA.16_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Imo,,,,7,7,,,,,['NGA.17_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Jigawa,,,,225,78,4,,,,['NGA.18_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Kaduna,,,,170,84,4,,,,['NGA.19_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Kano,,,,875,123,36,,,,['NGA.20_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Katsina,,,,303,51,13,,,,['NGA.21_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Kebbi,,,,32,17,4,,,,['NGA.22_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Kogi,,,,,,,,,,['NGA.23_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Kwara,,,,66,25,1,,,,['NGA.24_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Lagos,,,,3093,582,40,,,,['NGA.25_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Nassarawa,,,,38,18,2,,,,['NGA.26_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Niger,,,,22,5,1,,,,['NGA.27_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Ogun,,,,183,73,6,,,,['NGA.28_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Ondo,,,,22,15,1,,,,['NGA.29_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Osun,,,,42,33,4,,,,['NGA.30_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Oyo,,,,190,49,4,,,,['NGA.31_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Plateau,,,,70,14,1,,,,['NGA.32_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Rivers,,,,80,21,7,,,,['NGA.33_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Sokoto,,,,113,75,13,,,,['NGA.34_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Taraba,,,,18,10,,,,,['NGA.35_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Yobe,,,,45,5,1,,,,['NGA.36_1']
NGA_CDC,22-05-2020,Nigeria,NGA,Zamfara,,,,76,63,5,,,,['NGA.37_1']
NGA_CDC,23-05-2020,Nigeria,NGA,Abia,,,,7,1,,,,,['NGA.1_1']
