source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
DEU_JPGG,10-03-2020,Germany,DEU,Baden-Württemberg,,,,237,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Bayern,,,,314,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Berlin,,,,48,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Brandenburg,,,,9,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Bremen,,,,4,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Hamburg,,,,29,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Hessen,,,,35,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,13,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Niedersachsen,,,,49,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,484,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Rheinland-Pfalz,,,,25,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Saarland,,,,7,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Sachsen,,,,22,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Sachsen-Anhalt,,,,7,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Schleswig-Holstein,,,,9,,,,,,
DEU_JPGG,10-03-2020,Germany,DEU,Thüringen,,,,4,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Baden-Württemberg,,,,277,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Bayern,,,,366,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Berlin,,,,90,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Brandenburg,,,,24,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Bremen,,,,21,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Hamburg,,,,48,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Hessen,,,,48,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,17,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Niedersachsen,,,,75,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,484,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Rheinland-Pfalz,,,,25,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Saarland,,,,14,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Sachsen,,,,26,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Sachsen-Anhalt,,,,15,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Schleswig-Holstein,,,,27,,,,,,
DEU_JPGG,11-03-2020,Germany,DEU,Thüringen,,,,10,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Baden-Württemberg,,,,454,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Bayern,,,,500,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Berlin,,,,137,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Brandenburg,,,,30,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Bremen,,,,38,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Hamburg,,,,88,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Hessen,,,,99,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,23,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Niedersachsen,,,,129,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,688,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Rheinland-Pfalz,,,,52,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Saarland,,,,14,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Sachsen,,,,45,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Sachsen-Anhalt,,,,27,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Schleswig-Holstein,,,,31,,,,,,
DEU_JPGG,12-03-2020,Germany,DEU,Thüringen,,,,14,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Baden-Württemberg,,,,454,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Bayern,,,,558,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Berlin,,,,174,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Brandenburg,,,,44,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Bremen,,,,42,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Hamburg,,,,99,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Hessen,,,,148,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,33,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Niedersachsen,,,,230,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,936,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Rheinland-Pfalz,,,,102,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Saarland,,,,40,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Sachsen,,,,83,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Sachsen-Anhalt,,,,42,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Schleswig-Holstein,,,,48,,,,,,
DEU_JPGG,13-03-2020,Germany,DEU,Thüringen,,,,29,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Baden-Württemberg,,,,569,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Bayern,,,,681,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Berlin,,,,216,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Brandenburg,,,,61,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Bremen,,,,50,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Hamburg,,,,158,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Hessen,,,,203,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,45,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Niedersachsen,,,,253,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,1154,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Rheinland-Pfalz,,,,121,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Saarland,,,,40,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Sachsen,,,,93,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Sachsen-Anhalt,,,,45,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Schleswig-Holstein,,,,60,,,,,,
DEU_JPGG,14-03-2020,Germany,DEU,Thüringen,,,,46,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Baden-Württemberg,,,,827,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Bayern,,,,886,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Berlin,,,,265,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Brandenburg,,,,84,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Bremen,,,,53,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Hamburg,,,,162,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Hessen,,,,286,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,50,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Niedersachsen,,,,287,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,1407,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Rheinland-Pfalz,,,,168,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Saarland,,,,32,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Sachsen,,,,130,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Sachsen-Anhalt,,,,47,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Schleswig-Holstein,,,,103,,,,,,
DEU_JPGG,15-03-2020,Germany,DEU,Thüringen,,,,51,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Baden-Württemberg,,,,1105,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Bayern,,,,1067,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Berlin,,,,300,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Brandenburg,,,,94,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Bremen,,,,56,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Hamburg,,,,260,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Hessen,,,,342,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,51,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Niedersachsen,,,,391,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,1541,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Rheinland-Pfalz,,,,325,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Saarland,,,,85,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Sachsen,,,,140,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Sachsen-Anhalt,,,,77,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Schleswig-Holstein,,,,123,,,,,,
DEU_JPGG,16-03-2020,Germany,DEU,Thüringen,,,,55,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Baden-Württemberg,,,,1641,,6,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Bayern,,,,1352,,5,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Berlin,,,,383,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Brandenburg,,,,114,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Bremen,,,,66,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Hamburg,,,,312,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Hessen,,,,381,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,69,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Niedersachsen,,,,563,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,3375,,12,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Rheinland-Pfalz,,,,435,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Saarland,,,,101,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Sachsen,,,,247,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Sachsen-Anhalt,,,,93,,,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Schleswig-Holstein,,,,145,,1,,,,
DEU_JPGG,17-03-2020,Germany,DEU,Thüringen,,,,71,,,,,,
DEU_JPGG,18-03-2020,Germany,DEU,Baden-Württemberg,,,,2184,,8,,,,
DEU_JPGG,18-03-2020,Germany,DEU,Bayern,,,,1798,,7,,,,
DEU_JPGG,18-03-2020,Germany,DEU,Berlin,,,,519,,,,,,
DEU_JPGG,18-03-2020,Germany,DEU,Brandenburg,,,,171,,1,,,,
DEU_JPGG,18-03-2020,Germany,DEU,Bremen,,,,66,,3,,,,
DEU_JPGG,18-03-2020,Germany,DEU,Hamburg,,,,414,,1,,,,
DEU_JPGG,18-03-2020,Germany,DEU,Hessen,,,,547,,1,,,,
